cell_name	Symbol
Type II spiral ganglion neuron	Fam174c
Type I spiral ganglion neuron	Ptgr2
Type II spiral ganglion neuron	Tbl1x
Type I spiral ganglion neuron	Tacc2
Type I spiral ganglion neuron	Snn
Type I spiral ganglion neuron	Mmp15
Type I spiral ganglion neuron	Efemp1
Type I spiral ganglion neuron	Cdr2l
Type I spiral ganglion neuron	Calb2
Type IC spiral ganglion neuron	Egflam
Type IA spiral ganglion neuron	Tspan4
Type I spiral ganglion neuron	Kcnh5
Type II spiral ganglion neuron	Mta3
Type II spiral ganglion neuron	Unc5b
Type II spiral ganglion neuron	Smim15
Type I spiral ganglion neuron	Timm10
Type IC spiral ganglion neuron	Dennd2c
Type I spiral ganglion neuron	Lsamp
Type II spiral ganglion neuron	Hpcal1
Type I spiral ganglion neuron	Mtus2
Type IA spiral ganglion neuron	Hpcal1
Type II spiral ganglion neuron	Nucb1
Type IC spiral ganglion neuron	Pcbd1
Type II spiral ganglion neuron	Pdlim4
Type II spiral ganglion neuron	Cux2
Type II spiral ganglion neuron	Tcea3
Type II spiral ganglion neuron	1700019D03Rik
Type II spiral ganglion neuron	Trem2
Type I spiral ganglion neuron	Pbx1
Type I spiral ganglion neuron	Zfp397
Type I spiral ganglion neuron	Slc9a3r2
Type II spiral ganglion neuron	Rps12
Type I spiral ganglion neuron	Slc16a1
Type I spiral ganglion neuron	Synj2bp
Type II spiral ganglion neuron	Socs1
Type I spiral ganglion neuron	Kalrn
Type I spiral ganglion neuron	Kif3a
Type I spiral ganglion neuron	G0s2
Type I spiral ganglion neuron	Ern1
Type II spiral ganglion neuron	Ephb2
Type I spiral ganglion neuron	Ccdc184
Type I spiral ganglion neuron	Rtn4rl2
Type II spiral ganglion neuron	Ebf4
Type II spiral ganglion neuron	9230102O04Rik
Type II spiral ganglion neuron	Fam20a
Type I spiral ganglion neuron	Bin1
Type I spiral ganglion neuron	Pcm1
Type IA spiral ganglion neuron	Tanc1
Type I spiral ganglion neuron	Klhl32
Type I spiral ganglion neuron	Nop9
Type II spiral ganglion neuron	Nupl2
Type I spiral ganglion neuron	Ckmt1
Type I spiral ganglion neuron	Tm6sf1
Type IC spiral ganglion neuron	Boc
Type I spiral ganglion neuron	Lhfpl3
Type I spiral ganglion neuron	Thoc5
Type II spiral ganglion neuron	Adgrb1
Type II spiral ganglion neuron	Mthfs
Type I spiral ganglion neuron	Gtf2h4
Type II spiral ganglion neuron	Ccdc112
Type II spiral ganglion neuron	Sel1l3
Type II spiral ganglion neuron	Atp10d
Type II spiral ganglion neuron	Rnf181
Type I spiral ganglion neuron	Klc2
Type I spiral ganglion neuron	Iffo2
Type I spiral ganglion neuron	Syt7
Type II spiral ganglion neuron	Psme2
Type II spiral ganglion neuron	Pcdh20
Type I spiral ganglion neuron	1700066M21Rik
Type I spiral ganglion neuron	Clgn
Type II spiral ganglion neuron	Psme2b
Type I spiral ganglion neuron	Cetn2
Type I spiral ganglion neuron	Aldh1a3
Type II spiral ganglion neuron	Gpsm2
Type II spiral ganglion neuron	Pde1c
Type II spiral ganglion neuron	Cldn9
Type IA spiral ganglion neuron	Pde3b
Type I spiral ganglion neuron	Jun
Type I spiral ganglion neuron	Clu
Type I spiral ganglion neuron	Ttc39aos1
Type I spiral ganglion neuron	Ppcs
Type I spiral ganglion neuron	Adssl1
Type II spiral ganglion neuron	Smad1
Type I spiral ganglion neuron	Rnf26
Type IC spiral ganglion neuron	Tsku
Type IA spiral ganglion neuron	B3gat1
Type I spiral ganglion neuron	Kash5
Type IA spiral ganglion neuron	Chrna1
Type II spiral ganglion neuron	Trip10
Type I spiral ganglion neuron	Bcar3
Type I spiral ganglion neuron	Dnajc27
Type I spiral ganglion neuron	Fat3
Type II spiral ganglion neuron	Kcna6
Type IA spiral ganglion neuron	Palmd
Type I spiral ganglion neuron	Armc1
Type IC spiral ganglion neuron	Ldha
Type IA spiral ganglion neuron	Tmem268
Type IC spiral ganglion neuron	Elmod1
Type I spiral ganglion neuron	Cst6
Type I spiral ganglion neuron	Mamld1
Type IC spiral ganglion neuron	Grm8
Type I spiral ganglion neuron	1110017D15Rik
Type I spiral ganglion neuron	Fndc10
Type II spiral ganglion neuron	Mafb
Type I spiral ganglion neuron	Gfod1
Type I spiral ganglion neuron	Apc
Type I spiral ganglion neuron	Kctd1
Type IC spiral ganglion neuron	Parva
Type II spiral ganglion neuron	Map3k9
Type I spiral ganglion neuron	Mtus1
Type II spiral ganglion neuron	Elovl1
Type IB spiral ganglion neuron	Runx1
Type I spiral ganglion neuron	Mtif3
Type II spiral ganglion neuron	Ubash3a
Type I spiral ganglion neuron	Cacng2
Type I spiral ganglion neuron	Macrod1
Type I spiral ganglion neuron	Sntg2
Type I spiral ganglion neuron	Rnf11
Type I spiral ganglion neuron	Slc35g2
Type I spiral ganglion neuron	Nckap1
Type I spiral ganglion neuron	Add3
Type I spiral ganglion neuron	Nkiras1
Type I spiral ganglion neuron	Slc27a4
Type IC spiral ganglion neuron	Zfp947
Type I spiral ganglion neuron	St3gal1
Type I spiral ganglion neuron	Tmem196
Type I spiral ganglion neuron	Ndufaf2
Type I spiral ganglion neuron	Casz1
Type I spiral ganglion neuron	Dop1b
Type IA spiral ganglion neuron	Igtp
Type I spiral ganglion neuron	Atm
Type I spiral ganglion neuron	Abcd2
Type IA spiral ganglion neuron	Rin2
Type IA spiral ganglion neuron	Dclk1
Type IC spiral ganglion neuron	Dcc
Type I spiral ganglion neuron	Commd9
Type I spiral ganglion neuron	Rcc2
Type I spiral ganglion neuron	Cox11
Type II spiral ganglion neuron	Snhg17
Type I spiral ganglion neuron	Ptdss2
Type I spiral ganglion neuron	Frmpd1
Type II spiral ganglion neuron	Gng2
Type I spiral ganglion neuron	Epdr1
Type IA spiral ganglion neuron	Disp3
Type II spiral ganglion neuron	Disp3
Type I spiral ganglion neuron	Atg2b
Type I spiral ganglion neuron	Epb41l1
Type I spiral ganglion neuron	Six4
Type IC spiral ganglion neuron	Car13
Type I spiral ganglion neuron	Inpp5j
Type II spiral ganglion neuron	Flnb
Type II spiral ganglion neuron	Dubr
Type II spiral ganglion neuron	Adam19
Type I spiral ganglion neuron	Thoc1
Type II spiral ganglion neuron	Trappc6a
Type I spiral ganglion neuron	Fhod3
Type I spiral ganglion neuron	Sptssb
Type IA spiral ganglion neuron	Tspan9
Type I spiral ganglion neuron	Efr3b
Type IC spiral ganglion neuron	Rhbdl1
Type I spiral ganglion neuron	Mettl21a
Type IA spiral ganglion neuron	Mturn
Type IA spiral ganglion neuron	Snhg4
Type II spiral ganglion neuron	Gstp1
Type I spiral ganglion neuron	Kifc2
Type II spiral ganglion neuron	Agpat4
Type II spiral ganglion neuron	Gfra1
Type I spiral ganglion neuron	Kctd8
Type II spiral ganglion neuron	Camk1g
Type I spiral ganglion neuron	Slc29a2
Type IB spiral ganglion neuron	Zadh2
Type I spiral ganglion neuron	Dffa
Type IC spiral ganglion neuron	Galk2
Type I spiral ganglion neuron	Cd302
Type I spiral ganglion neuron	Lmo1
Type II spiral ganglion neuron	Wnt3
Type II spiral ganglion neuron	Stard13
Type II spiral ganglion neuron	Trpm3
Type I spiral ganglion neuron	Dld
Type I spiral ganglion neuron	Men1
Type IA spiral ganglion neuron	Rsph3b
Type II spiral ganglion neuron	Mpp3
Type I spiral ganglion neuron	Dexi
Type II spiral ganglion neuron	Rab13
Type I spiral ganglion neuron	Cracd
Type I spiral ganglion neuron	Cplane1
Type I spiral ganglion neuron	Slc46a1
Type II spiral ganglion neuron	Rap1b
Type II spiral ganglion neuron	Ano2
Type II spiral ganglion neuron	Nxph4
Type I spiral ganglion neuron	Sirt5
Type IA spiral ganglion neuron	Rtl5
Type IA spiral ganglion neuron	Tmem229a
Type I spiral ganglion neuron	Crbn
Type I spiral ganglion neuron	Ppp1r9a
Type II spiral ganglion neuron	Fes
Type IB spiral ganglion neuron	Spats2l
Type I spiral ganglion neuron	Zcrb1
Type IC spiral ganglion neuron	Fkbp9
Type I spiral ganglion neuron	Eno4
Type IB spiral ganglion neuron	Sdc4
Type IB spiral ganglion neuron	Ppfibp2
Type II spiral ganglion neuron	Tle4
Type IA spiral ganglion neuron	Lcp2
Type I spiral ganglion neuron	Pik3c2b
Type I spiral ganglion neuron	Acp1
Type I spiral ganglion neuron	Chordc1
Type I spiral ganglion neuron	Zfp385a
Type I spiral ganglion neuron	5031439G07Rik
Type IC spiral ganglion neuron	Slc9a9
Type IA spiral ganglion neuron	Naip5
Type I spiral ganglion neuron	Ankrd9
Type II spiral ganglion neuron	Cabin1
Type I spiral ganglion neuron	Glul
Type II spiral ganglion neuron	H2-Aa
Type I spiral ganglion neuron	Bcat1
Type I spiral ganglion neuron	Gls
Type I spiral ganglion neuron	Ndufaf4
Type II spiral ganglion neuron	Plk5
Type II spiral ganglion neuron	Hey1
Type I spiral ganglion neuron	Lgi3
Type IA spiral ganglion neuron	2510009E07Rik
Type II spiral ganglion neuron	Snora70
Type I spiral ganglion neuron	Myadml2
Type II spiral ganglion neuron	Ckap4
Type II spiral ganglion neuron	Nampt
Type I spiral ganglion neuron	Rnd2
Type II spiral ganglion neuron	Galnt5
Type I spiral ganglion neuron	Nckipsd
Type IC spiral ganglion neuron	Hopx
Type I spiral ganglion neuron	Tlcd3b
Type IA spiral ganglion neuron	Sh3bgr
Type II spiral ganglion neuron	E230016M11Rik
Type IA spiral ganglion neuron	Cys1
Type IA spiral ganglion neuron	Arhgap20
Type II spiral ganglion neuron	Map7
Type I spiral ganglion neuron	Ak1
Type I spiral ganglion neuron	Sh2d7
Type I spiral ganglion neuron	Sptb
Type II spiral ganglion neuron	Col28a1
Type IC spiral ganglion neuron	Sh2d7
Type I spiral ganglion neuron	Fbxo31
Type I spiral ganglion neuron	Gyg
Type II spiral ganglion neuron	Ror2
Type I spiral ganglion neuron	Enpp4
Type I spiral ganglion neuron	Car12
Type I spiral ganglion neuron	Mrtfb
Type I spiral ganglion neuron	Rasl10b
Type II spiral ganglion neuron	Tmem200a
Type I spiral ganglion neuron	Gnaz
Type II spiral ganglion neuron	Zfp142
Type II spiral ganglion neuron	H2-T-ps
Type I spiral ganglion neuron	Dbn1
Type IB spiral ganglion neuron	Lypd6
Type I spiral ganglion neuron	Fundc2
Type I spiral ganglion neuron	Nae1
Type II spiral ganglion neuron	Susd5
Type I spiral ganglion neuron	Tmem29
Type I spiral ganglion neuron	Hmg20b
Type I spiral ganglion neuron	Chmp6
Type I spiral ganglion neuron	Mrpl4
Type IC spiral ganglion neuron	Pcp4l1
Type II spiral ganglion neuron	Serpinf1
Type II spiral ganglion neuron	Tmtc2
Type I spiral ganglion neuron	Dync2h1
Type I spiral ganglion neuron	Top1
Type I spiral ganglion neuron	Chchd7
Type I spiral ganglion neuron	Fat1
Type I spiral ganglion neuron	Usp33
Type II spiral ganglion neuron	Kctd12
Type II spiral ganglion neuron	Epb41l4a
Type IB spiral ganglion neuron	Edil3
Type II spiral ganglion neuron	Xab2
Type IC spiral ganglion neuron	Plxna2
Type I spiral ganglion neuron	Plaat1
Type II spiral ganglion neuron	Tpd52
Type II spiral ganglion neuron	Donson
Type IC spiral ganglion neuron	Gm19557
Type II spiral ganglion neuron	Bex1
Type I spiral ganglion neuron	Bend6
Type II spiral ganglion neuron	Lmna
Type IC spiral ganglion neuron	B4galt4
Type II spiral ganglion neuron	Iigp1
Type I spiral ganglion neuron	Phyhip
Type I spiral ganglion neuron	Def6
Type I spiral ganglion neuron	Spock2
Type II spiral ganglion neuron	Oat
Type IC spiral ganglion neuron	Tmem117
Type I spiral ganglion neuron	Ppif
Type II spiral ganglion neuron	Eef2kmt
Type II spiral ganglion neuron	Lpar1
Type II spiral ganglion neuron	Rwdd2b
Type I spiral ganglion neuron	Hdlbp
Type II spiral ganglion neuron	Elp4
Type I spiral ganglion neuron	Cse1l
Type IC spiral ganglion neuron	Tpo
Type I spiral ganglion neuron	Prpf19
Type I spiral ganglion neuron	Celsr2
Type I spiral ganglion neuron	Hecw1
Type I spiral ganglion neuron	Pfkp
Type II spiral ganglion neuron	Flot2
Type II spiral ganglion neuron	Tmem106a
Type I spiral ganglion neuron	Abcc8
Type IC spiral ganglion neuron	Cdh4
Type I spiral ganglion neuron	Lingo1
Type IB spiral ganglion neuron	Ankrd16
Type II spiral ganglion neuron	Tcerg1l
Type I spiral ganglion neuron	Syne1
Type IC spiral ganglion neuron	Negr1
Type IA spiral ganglion neuron	Vps8
Type I spiral ganglion neuron	Abcb7
Type I spiral ganglion neuron	Cmc2
Type II spiral ganglion neuron	Hnrnph3
Type I spiral ganglion neuron	Ythdf1
Type II spiral ganglion neuron	Gucy1b1
Type I spiral ganglion neuron	Dnajb14
Type II spiral ganglion neuron	Slc9b2
Type I spiral ganglion neuron	Cited2
Type I spiral ganglion neuron	Mvb12b
Type IC spiral ganglion neuron	Fmn1
Type I spiral ganglion neuron	Mtap
Type I spiral ganglion neuron	Acaa1a
Type I spiral ganglion neuron	Eif2b4
Type I spiral ganglion neuron	Gdpd1
Type IA spiral ganglion neuron	Syngr1
Type II spiral ganglion neuron	Efemp2
Type IC spiral ganglion neuron	Pirt
Type II spiral ganglion neuron	Tlr4
Type I spiral ganglion neuron	Map4k2
Type I spiral ganglion neuron	Paqr8
Type I spiral ganglion neuron	Kat6a
Type II spiral ganglion neuron	Spsb2
Type I spiral ganglion neuron	Kcna1
Type I spiral ganglion neuron	Ppm1b
Type I spiral ganglion neuron	Ralb
Type II spiral ganglion neuron	Gm5532
Type II spiral ganglion neuron	AI413582
Type IC spiral ganglion neuron	Rph3a
Type I spiral ganglion neuron	Mt1
Type II spiral ganglion neuron	Rph3a
Type IC spiral ganglion neuron	Krt28
Type I spiral ganglion neuron	Kcnc3
Type IA spiral ganglion neuron	Nr3c1
Type I spiral ganglion neuron	Cib2
Type II spiral ganglion neuron	Metrnl
Type IA spiral ganglion neuron	Smim3
Type II spiral ganglion neuron	Frat1
Type IA spiral ganglion neuron	Apba2
Type I spiral ganglion neuron	Tmem41a
Type II spiral ganglion neuron	Tmem241
Type II spiral ganglion neuron	Arnt2
Type I spiral ganglion neuron	Rtca
Type I spiral ganglion neuron	Ube2n
Type I spiral ganglion neuron	Krt222
Type I spiral ganglion neuron	Pgm2l1
Type IB spiral ganglion neuron	Mgat5b
Type IC spiral ganglion neuron	Sorbs2
Type I spiral ganglion neuron	Cfap161
Type II spiral ganglion neuron	Pdia4
Type II spiral ganglion neuron	Crtac1
Type I spiral ganglion neuron	Cep57
Type I spiral ganglion neuron	Mitd1
Type II spiral ganglion neuron	Gnao1
Type I spiral ganglion neuron	Tbc1d4
Type I spiral ganglion neuron	Myrip
Type IC spiral ganglion neuron	Kcnip1
Type IA spiral ganglion neuron	Tmem229b
Type II spiral ganglion neuron	Crabp1
Type I spiral ganglion neuron	Pcbp4
Type I spiral ganglion neuron	Ppp2r2b
Type I spiral ganglion neuron	Fuom
Type I spiral ganglion neuron	Rtn4ip1
Type I spiral ganglion neuron	Tmem184c
Type I spiral ganglion neuron	Zrsr2
Type I spiral ganglion neuron	Usp6nl
Type IC spiral ganglion neuron	Ndst4
Type II spiral ganglion neuron	4930480K15Rik
Type IA spiral ganglion neuron	Sertm1
Type I spiral ganglion neuron	Vstm5
Type I spiral ganglion neuron	Ppid
Type IA spiral ganglion neuron	Arhgap22
Type IC spiral ganglion neuron	Fanca
Type I spiral ganglion neuron	Magee1
Type II spiral ganglion neuron	Apobec1
Type II spiral ganglion neuron	Bmpr1a
Type I spiral ganglion neuron	Ankrd34b
Type I spiral ganglion neuron	Usp10
Type I spiral ganglion neuron	Nt5c3
Type I spiral ganglion neuron	Pop5
Type II spiral ganglion neuron	Dlg5
Type II spiral ganglion neuron	Sorl1
Type IA spiral ganglion neuron	Aldh5a1
Type I spiral ganglion neuron	Dele1
Type II spiral ganglion neuron	Slc35a2
Type IC spiral ganglion neuron	Pcdh9
Type II spiral ganglion neuron	Spata24
Type IC spiral ganglion neuron	Epb41l4a
Type I spiral ganglion neuron	Tnfrsf21
Type I spiral ganglion neuron	Ints11
Type I spiral ganglion neuron	Adamts3
Type I spiral ganglion neuron	Dlst
Type I spiral ganglion neuron	Rcbtb1
Type IA spiral ganglion neuron	Plekhh1
Type II spiral ganglion neuron	Id2
Type I spiral ganglion neuron	Oxnad1
Type IA spiral ganglion neuron	Mical1
Type IC spiral ganglion neuron	Cyp1b1
Type IC spiral ganglion neuron	Hmcn1
Type I spiral ganglion neuron	Add2
Type I spiral ganglion neuron	Camk2g
Type I spiral ganglion neuron	Poldip2
Type IA spiral ganglion neuron	Rassf6
Type II spiral ganglion neuron	Gpsm1
Type I spiral ganglion neuron	Mtmr6
Type I spiral ganglion neuron	Glrx2
Type IA spiral ganglion neuron	Frat2
Type I spiral ganglion neuron	Zfyve28
Type II spiral ganglion neuron	Izumo4
Type II spiral ganglion neuron	Dok7
Type I spiral ganglion neuron	Clmp
Type I spiral ganglion neuron	Nr2f6
Type I spiral ganglion neuron	1700025G04Rik
Type II spiral ganglion neuron	Mob3c
Type IA spiral ganglion neuron	Cacna2d2
Type II spiral ganglion neuron	Sh3bgrl2
Type II spiral ganglion neuron	Furin
Type II spiral ganglion neuron	Tm4sf1
Type II spiral ganglion neuron	Gap43
Type II spiral ganglion neuron	Myo1c
Type I spiral ganglion neuron	Mrps6
Type I spiral ganglion neuron	Scg3
Type I spiral ganglion neuron	Mapre3
Type II spiral ganglion neuron	Marcks
Type IC spiral ganglion neuron	Esr2
Type I spiral ganglion neuron	Fam20c
Type II spiral ganglion neuron	Tmem176a
Type II spiral ganglion neuron	Lin7a
Type I spiral ganglion neuron	Cstf2
Type IC spiral ganglion neuron	Ggact
Type I spiral ganglion neuron	Dcp2
Type IA spiral ganglion neuron	Dok5
Type I spiral ganglion neuron	Pdxp
Type II spiral ganglion neuron	Magi1
Type I spiral ganglion neuron	Klf9
Type I spiral ganglion neuron	AI593442
Type IC spiral ganglion neuron	Crim1
Type II spiral ganglion neuron	Naga
Type IC spiral ganglion neuron	Vat1l
Type II spiral ganglion neuron	Jph4
Type I spiral ganglion neuron	Lrrn3
Type I spiral ganglion neuron	Ppip5k1
Type IC spiral ganglion neuron	Terf2
Type I spiral ganglion neuron	Osbpl3
Type I spiral ganglion neuron	St3gal6
Type II spiral ganglion neuron	Tubb2b
Type IA spiral ganglion neuron	Chrna4
Type IA spiral ganglion neuron	Rgs6
Type I spiral ganglion neuron	Ndfip2
Type I spiral ganglion neuron	Klhdc8a
Type IB spiral ganglion neuron	Rbm20
Type II spiral ganglion neuron	Ccdc22
Type I spiral ganglion neuron	Ecpas
Type II spiral ganglion neuron	Rhoc
Type IB spiral ganglion neuron	Bcam
Type I spiral ganglion neuron	Sema3d
Type IB spiral ganglion neuron	Sema3d
Type II spiral ganglion neuron	F2r
Type I spiral ganglion neuron	Ankdd1b
Type II spiral ganglion neuron	H2-D1
Type I spiral ganglion neuron	Uvrag
Type II spiral ganglion neuron	Tax1bp3
Type I spiral ganglion neuron	Runx1
Type IC spiral ganglion neuron	Rnd2
Type IC spiral ganglion neuron	Nalcn
Type I spiral ganglion neuron	Faah
Type I spiral ganglion neuron	Paqr9
Type II spiral ganglion neuron	Jdp2
Type I spiral ganglion neuron	Nupl1
Type I spiral ganglion neuron	Fa2h
Type I spiral ganglion neuron	Naa35
Type I spiral ganglion neuron	Gpat4
Type I spiral ganglion neuron	Lnpk
Type II spiral ganglion neuron	Ezr
Type II spiral ganglion neuron	Efcab15
Type I spiral ganglion neuron	Iqgap1
Type II spiral ganglion neuron	H2-DMb1
Type I spiral ganglion neuron	St3gal3
Type IB spiral ganglion neuron	Calb1
Type I spiral ganglion neuron	Gpr137b-ps
Type II spiral ganglion neuron	Tbcel
Type I spiral ganglion neuron	Gtpbp3
Type I spiral ganglion neuron	Tmem179
Type I spiral ganglion neuron	Ppm1j
Type II spiral ganglion neuron	S100a13
Type I spiral ganglion neuron	Frmd4b
Type IA spiral ganglion neuron	Vldlr
Type I spiral ganglion neuron	Paqr7
Type I spiral ganglion neuron	Mpc1
Type IC spiral ganglion neuron	Neurod1
Type IC spiral ganglion neuron	Clec18a
Type II spiral ganglion neuron	Tns1
Type I spiral ganglion neuron	Jsrp1
Type I spiral ganglion neuron	Lhfp
Type II spiral ganglion neuron	Serinc5
Type II spiral ganglion neuron	Wls
Type I spiral ganglion neuron	Cdc37l1
Type IA spiral ganglion neuron	Sntb2
Type I spiral ganglion neuron	Mcf2l
Type I spiral ganglion neuron	Rpap3
Type II spiral ganglion neuron	Id1
Type II spiral ganglion neuron	Arpc5
Type I spiral ganglion neuron	Pfkfb2
Type I spiral ganglion neuron	Rars2
Type I spiral ganglion neuron	Ube2q2
Type II spiral ganglion neuron	Prima1
Type IA spiral ganglion neuron	Nfib
Type I spiral ganglion neuron	Sympk
Type II spiral ganglion neuron	Ophn1
Type I spiral ganglion neuron	Nfkb1
Type II spiral ganglion neuron	Edaradd
Type IC spiral ganglion neuron	Thrsp
Type I spiral ganglion neuron	Ttc39b
Type I spiral ganglion neuron	Pgf
Type I spiral ganglion neuron	Reep2
Type II spiral ganglion neuron	Cblb
Type I spiral ganglion neuron	Nkapd1
Type I spiral ganglion neuron	Mark4
Type I spiral ganglion neuron	Mppe1
Type I spiral ganglion neuron	B4galt6
Type IA spiral ganglion neuron	Cyp2s1
Type II spiral ganglion neuron	Slc9a3r1
Type II spiral ganglion neuron	Tbc1d10a
Type II spiral ganglion neuron	Ptpro
Type I spiral ganglion neuron	Uqcc1
Type II spiral ganglion neuron	Arap2
Type I spiral ganglion neuron	Miga2
Type I spiral ganglion neuron	Psmf1
Type I spiral ganglion neuron	Fam184b
Type IB spiral ganglion neuron	Fbxo27
Type I spiral ganglion neuron	Reep1
Type II spiral ganglion neuron	Selenop
Type I spiral ganglion neuron	Med7
Type II spiral ganglion neuron	Syne4
Type I spiral ganglion neuron	Cotl1
Type II spiral ganglion neuron	Mir100hg
Type IC spiral ganglion neuron	Adgra1
Type IA spiral ganglion neuron	Pygm
Type I spiral ganglion neuron	Hdac2
Type II spiral ganglion neuron	Tssk6
Type I spiral ganglion neuron	Rpl7l1
Type I spiral ganglion neuron	Nuak1
Type I spiral ganglion neuron	Myorg
Type IA spiral ganglion neuron	Trim54
Type I spiral ganglion neuron	Slc7a1
Type I spiral ganglion neuron	Slc25a36
Type IA spiral ganglion neuron	Kremen1
Type II spiral ganglion neuron	Adm
Type I spiral ganglion neuron	Scarb2
Type I spiral ganglion neuron	Synm
Type I spiral ganglion neuron	Cat
Type IA spiral ganglion neuron	Cyp46a1
Type IA spiral ganglion neuron	Tmcc3
Type IC spiral ganglion neuron	Ncald
Type II spiral ganglion neuron	Xpo6
Type I spiral ganglion neuron	Tdp2
Type I spiral ganglion neuron	Cyfip2
Type I spiral ganglion neuron	Mgat3
Type I spiral ganglion neuron	Inpp1
Type II spiral ganglion neuron	Gm6548
Type IA spiral ganglion neuron	Arc
Type IC spiral ganglion neuron	Atp11a
Type IA spiral ganglion neuron	Nhsl1
Type I spiral ganglion neuron	Tmem181c-ps
Type II spiral ganglion neuron	Atp2b4
Type I spiral ganglion neuron	Plppr3
Type I spiral ganglion neuron	Mcu
Type IC spiral ganglion neuron	Ppp1r3b
Type II spiral ganglion neuron	Prkcd
Type I spiral ganglion neuron	Bcan
Type I spiral ganglion neuron	Azi2
Type I spiral ganglion neuron	Cox8b
Type II spiral ganglion neuron	Grhl1
Type II spiral ganglion neuron	Tex15
Type I spiral ganglion neuron	Rgs7bp
Type I spiral ganglion neuron	Chrac1
Type I spiral ganglion neuron	Isca2
Type I spiral ganglion neuron	Rnf40
Type IA spiral ganglion neuron	Fbxo40
Type II spiral ganglion neuron	Nhsl2
Type II spiral ganglion neuron	Olfm2
Type I spiral ganglion neuron	Tmem240
Type II spiral ganglion neuron	Immp2l
Type I spiral ganglion neuron	Cntn5
Type IC spiral ganglion neuron	Fgf5
Type I spiral ganglion neuron	Fgf18
Type I spiral ganglion neuron	Slc11a2
Type IC spiral ganglion neuron	Majin
Type I spiral ganglion neuron	Camk1d
Type I spiral ganglion neuron	Cep83
Type I spiral ganglion neuron	Mpi
Type I spiral ganglion neuron	Ddx1
Type I spiral ganglion neuron	Ttll5
Type I spiral ganglion neuron	Pgd
Type II spiral ganglion neuron	Gprc5c
Type II spiral ganglion neuron	Sertad1
Type II spiral ganglion neuron	Mmp14
Type II spiral ganglion neuron	Ass1
Type II spiral ganglion neuron	Igtp
Type I spiral ganglion neuron	Aptx
Type I spiral ganglion neuron	Ugp2
Type I spiral ganglion neuron	Mfn2
Type I spiral ganglion neuron	Sptbn2
Type II spiral ganglion neuron	A430035B10Rik
Type II spiral ganglion neuron	Mmp16
Type II spiral ganglion neuron	9430038I01Rik
Type I spiral ganglion neuron	Ankrd55
Type II spiral ganglion neuron	Ica1l
Type I spiral ganglion neuron	Coprs
Type I spiral ganglion neuron	Mospd1
Type II spiral ganglion neuron	Hmgn2
Type I spiral ganglion neuron	Fbxo32
Type IC spiral ganglion neuron	Robo2
Type I spiral ganglion neuron	Mlxip
Type II spiral ganglion neuron	Plp2
Type I spiral ganglion neuron	Dhdds
Type IC spiral ganglion neuron	Tmprss7
Type II spiral ganglion neuron	Irgm2
Type II spiral ganglion neuron	Ptchd1
Type I spiral ganglion neuron	Tcea2
Type II spiral ganglion neuron	Grin3a
Type II spiral ganglion neuron	Trpv2
Type IC spiral ganglion neuron	Pcsk2os1
Type I spiral ganglion neuron	Ddah1
Type II spiral ganglion neuron	Gm16023
Type IA spiral ganglion neuron	Tnks1bp1
Type I spiral ganglion neuron	Cds1
Type II spiral ganglion neuron	Ocrl
Type I spiral ganglion neuron	Nmnat1
Type I spiral ganglion neuron	Resp18
Type II spiral ganglion neuron	Chmp1a
Type IB spiral ganglion neuron	Hcrtr2
Type I spiral ganglion neuron	Mipep
Type I spiral ganglion neuron	Coro6
Type I spiral ganglion neuron	Slc25a46
Type I spiral ganglion neuron	Atp2b3
Type I spiral ganglion neuron	Exoc5
Type I spiral ganglion neuron	Slc20a1
Type I spiral ganglion neuron	Atg4d
Type II spiral ganglion neuron	Tmem176b
Type I spiral ganglion neuron	Ptrh2
Type II spiral ganglion neuron	Trim25
Type I spiral ganglion neuron	Hlf
Type II spiral ganglion neuron	Slc4a10
Type I spiral ganglion neuron	Diras1
Type I spiral ganglion neuron	Phka1
Type II spiral ganglion neuron	Gabrb2
Type II spiral ganglion neuron	Plekhg5
Type IC spiral ganglion neuron	Sema3f
Type I spiral ganglion neuron	Panx2
Type I spiral ganglion neuron	Pet100
Type I spiral ganglion neuron	Trim37
Type I spiral ganglion neuron	Angel1
Type IB spiral ganglion neuron	Ppm1d
Type II spiral ganglion neuron	Chtop
Type I spiral ganglion neuron	Abraxas2
Type I spiral ganglion neuron	Cpeb3
Type II spiral ganglion neuron	Cacna2d2
Type I spiral ganglion neuron	Sema6b
Type II spiral ganglion neuron	Mir3064
Type IA spiral ganglion neuron	Gpr37
Type IC spiral ganglion neuron	Mrps6
Type I spiral ganglion neuron	Grsf1
Type IA spiral ganglion neuron	Pofut1
Type I spiral ganglion neuron	Cdh9
Type II spiral ganglion neuron	Hmgn3
Type I spiral ganglion neuron	Dnajc13
Type I spiral ganglion neuron	4930506C21Rik
Type I spiral ganglion neuron	Nudt19
Type II spiral ganglion neuron	Erc1
Type IC spiral ganglion neuron	Ush1g
Type IA spiral ganglion neuron	F11r
Type II spiral ganglion neuron	Rbms1
Type IC spiral ganglion neuron	Antxr1
Type IC spiral ganglion neuron	Dusp6
Type IC spiral ganglion neuron	Plcxd2
Type II spiral ganglion neuron	Pisd
Type I spiral ganglion neuron	Rnf208
Type I spiral ganglion neuron	Cdc42ep3
Type II spiral ganglion neuron	Lrrc75a
